Field,ID,Type (Type),default,en
Description,2,Text,,"Lunox allows you to easily perform unit conversions, file conversions, OCR operations, QR operations, HTML-CSS-JS-JSON operations and many other leading operations with the various infrastructure it offers."
ReleaseNotes,3,Text,,"Some of What's New and Bug Fixes are listed below:

The Glance screen has been edited.
Added sound effects to mouse events.
Discord page bugs fixed.
GitHub page bugs fixed.
Help page has been prepared.
Added Startup Page to settings.
Translations have been edited."
Title,4,Text,,Lunox
ShortTitle,5,Text,,Lunox
SortTitle,6,Text,,Lunox
VoiceTitle,7,Text,,Lunox
ShortDescription,8,Text,,Lunox
DevStudio,9,Text,,Soferity LLC
CopyrightTrademarkInformation,12,Text,,Copyright © 2022 Soferity LLC
AdditionalLicenseTerms,13,Text,,
DesktopScreenshot1,100,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9PC06S6LW868/submissions/1152921505695268159/listings/1152922700008841134/listingassets/3034764966473753088
DesktopScreenshot2,101,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9PC06S6LW868/submissions/1152921505695268159/listings/1152922700008841134/listingassets/3040708572647635372
DesktopScreenshot3,102,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9PC06S6LW868/submissions/1152921505695268159/listings/1152922700008841134/listingassets/3060193325630139788
DesktopScreenshot4,103,Relative path (or URL to file in Partner Center),,
DesktopScreenshot5,104,Relative path (or URL to file in Partner Center),,
DesktopScreenshot6,105,Relative path (or URL to file in Partner Center),,
DesktopScreenshot7,106,Relative path (or URL to file in Partner Center),,
DesktopScreenshot8,107,Relative path (or URL to file in Partner Center),,
DesktopScreenshot9,108,Relative path (or URL to file in Partner Center),,
DesktopScreenshot10,109,Relative path (or URL to file in Partner Center),,
DesktopScreenshotCaption1,150,Text,,Settings
DesktopScreenshotCaption2,151,Text,,404
DesktopScreenshotCaption3,152,Text,,Glance
DesktopScreenshotCaption4,153,Text,,
DesktopScreenshotCaption5,154,Text,,
DesktopScreenshotCaption6,155,Text,,
DesktopScreenshotCaption7,156,Text,,
DesktopScreenshotCaption8,157,Text,,
DesktopScreenshotCaption9,158,Text,,
DesktopScreenshotCaption10,159,Text,,
MobileScreenshot1,200,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9PC06S6LW868/submissions/1152921505695268159/listings/1152922700008841134/listingassets/3047059292266401781
